chipped:lime_concrete_1,chipped:grid_lime_concrete
chipped:lime_concrete_2,chipped:lime_concrete_bricks
chipped:lime_concrete_3,chipped:lime_concrete_tiles
chipped:lime_concrete_4,chipped:stacked_lime_concrete
chipped:lime_concrete_5,chipped:smooth_lime_concrete
chipped:lime_concrete_6,chipped:pegged_lime_concrete
chipped:lime_concrete_7,chipped:lime_concrete_panel
chipped:lime_concrete_8,chipped:creeper_lime_concrete
chipped:lime_concrete_9,chipped:warning_lime_concrete
chipped:lime_concrete_10,chipped:hazard_lime_concrete
chipped:lime_concrete_11,chipped:rusted_lime_concrete
chipped:lime_concrete_12,chipped:reinforced_lime_concrete
chipped:lime_concrete_13,chipped:bolted_lime_concrete
chipped:lime_concrete_14,chipped:railed_lime_concrete
chipped:lime_concrete_15,chipped:grill_lime_concrete
chipped:lime_concrete_16,chipped:wired_lime_concrete
chipped:lime_concrete_17,chipped:stop_lime_concrete
chipped:lime_concrete_18,chipped:mosaic_lime_concrete
chipped:lime_concrete_19,chipped:striped_lime_concrete
chipped:lime_concrete_20,chipped:smooth_lime_concrete
chipped:lime_concrete_21,chipped:framed_lime_concrete